year,gender,hs.type,hs.location,hs.score,math,history,science,spanish,toeic
2007,male,private,capital_city,702,705,663,0,757,597
2009,female,public,other_region,723,735,757,0,774,597
2010,male,private,capital_city,785,774,834,0,776,597
2005,female,private,capital_city,702,725,606,608,582,596
2005,male,semiprivate,capital_city,744,714,713,0,732,596
2006,male,private,capital_city,702,722,485,656,631,593
2010,male,private,capital_city,661,774,0,677,651,593
2010,male,public,capital_city,641,774,655,592,667,593
2007,female,private,capital_city,620,688,0,645,761,593
2010,male,private,other_region,702,831,803,0,792,593
2006,male,private,capital_city,723,692,0,620,586,590
2010,male,private,capital_city,723,850,630,660,682,590
2010,female,public,capital_city,682,793,640,0,691,590
2008,male,private,capital_city,702,716,754,0,706,590
2006,male,private,capital_city,744,707,850,659,712,590
2006,male,private,capital_city,661,740,638,0,732,590
2010,male,private,capital_city,702,756,727,0,743,590
2007,male,private,capital_city,723,713,677,0,747,590
2010,male,private,capital_city,723,737,708,0,754,590
2010,male,public,capital_city,682,812,622,689,754,590
2009,male,private,capital_city,723,724,663,0,803,590
2005,male,private,capital_city,641,690,669,526,626,588
2005,male,semiprivate,capital_city,723,713,689,634,693,588
2006,male,private,capital_city,702,645,570,0,620,587
2010,male,private,capital_city,661,793,664,664,659,587
2008,male,public,capital_city,764,688,559,647,667,587
2009,female,private,capital_city,702,735,681,0,670,587
2010,male,private,capital_city,764,701,0,642,674,587
2008,male,private,capital_city,599,828,734,658,674,587
2009,female,private,capital_city,723,724,681,657,678,587
2010,male,private,capital_city,661,756,0,646,700,587
2009,female,private,capital_city,785,724,745,0,704,587
2006,male,private,capital_city,682,722,690,656,712,587
2009,male,private,capital_city,723,708,0,680,713,587
2009,male,private,capital_city,641,825,694,641,723,587
2010,male,semiprivate,capital_city,764,774,0,703,743,587
2009,male,private,capital_city,702,724,735,672,747,587
2010,female,private,capital_city,641,774,649,596,768,587
2010,female,public,capital_city,702,718,0,715,776,587
2005,female,private,capital_city,805,667,617,619,658,584
2010,male,private,capital_city,702,737,0,749,639,583
2010,male,private,capital_city,702,756,622,680,639,583
2007,male,private,capital_city,702,713,657,639,655,583
2008,male,private,capital_city,702,761,0,721,667,583
2009,male,private,other_region,682,735,757,634,670,583
2006,male,semiprivate,capital_city,744,690,733,648,688,583
2005,female,private,capital_city,723,686,735,542,712,583
2006,female,private,capital_city,744,759,690,0,712,583
2009,male,private,capital_city,723,825,0,749,713,583
2008,male,private,capital_city,744,739,744,0,716,583
2006,male,private,capital_city,702,690,605,648,732,583
2010,female,semiprivate,capital_city,785,669,630,581,743,583
2010,female,private,capital_city,744,706,682,0,743,583
2008,female,private,capital_city,682,702,582,629,747,583
2005,male,semiprivate,other_region,538,739,0,658,674,582
2005,male,private,capital_city,723,850,735,0,746,582
2010,male,private,other_region,661,694,0,693,667,580
2010,female,private,capital_city,785,737,0,603,667,580
2010,male,private,capital_city,661,774,689,0,674,580
2009,male,private,other_region,785,715,627,0,678,580
2007,male,private,capital_city,723,806,779,0,691,580
2010,female,private,capital_city,682,756,803,0,700,580
2009,male,semiprivate,capital_city,599,793,717,0,700,580
2006,female,private,capital_city,764,657,722,0,722,580
2008,female,private,capital_city,702,739,628,0,726,580
2008,female,private,capital_city,785,739,754,0,726,580
2010,male,private,capital_city,764,737,834,0,743,580
2009,male,private,capital_city,682,748,701,645,747,580
2007,male,private,capital_city,744,806,706,0,757,580
2008,male,private,other_region,641,828,705,616,760,580
2007,male,private,other_region,702,681,826,0,771,580
2010,female,semiprivate,other_region,785,850,655,631,776,580
2007,male,semiprivate,other_region,723,694,694,0,812,580
2005,male,private,other_region,702,686,746,0,642,578
2005,male,private,capital_city,682,707,649,0,712,578
2005,male,private,capital_city,661,795,624,553,620,577
2010,male,private,other_region,723,756,0,727,645,577
2005,male,private,capital_city,723,633,713,0,664,577
2005,female,private,capital_city,764,737,649,557,674,577
2007,male,public,capital_city,682,738,0,692,691,577
2008,male,private,capital_city,599,716,714,0,716,577
2009,male,private,capital_city,764,688,0,657,723,577
2009,male,private,capital_city,661,748,735,0,735,577
2008,male,private,capital_city,620,718,834,0,743,577
2010,female,private,capital_city,744,701,717,0,776,577
2010,male,private,capital_city,641,737,701,0,776,577
2005,female,private,capital_city,744,713,617,0,607,573
2006,male,private,capital_city,702,761,0,721,641,573
2007,female,semiprivate,capital_city,764,681,657,0,655,573
2007,male,private,capital_city,682,686,623,697,655,573
2010,male,private,capital_city,702,688,682,642,682,573
2008,male,semiprivate,capital_city,744,748,0,727,695,573
2008,male,private,capital_city,702,702,796,0,696,573
2005,male,private,capital_city,599,725,647,588,703,573
2006,female,private,capital_city,764,690,638,0,712,573
2006,female,private,capital_city,661,722,757,0,732,573
2006,male,private,capital_city,641,722,722,0,752,573
2005,male,private,capital_city,723,694,0,718,783,573
2006,male,private,capital_city,682,688,600,561,784,573
2005,male,private,capital_city,579,737,640,0,710,572
2010,male,private,capital_city,702,793,600,677,608,570
2005,male,private,capital_city,620,702,0,619,628,570
2009,male,private,capital_city,702,735,0,680,644,570
2010,male,private,capital_city,620,831,591,642,645,570
2010,male,private,other_region,661,756,757,576,651,570
2005,male,private,capital_city,599,713,713,649,658,570
2005,female,public,capital_city,661,708,0,613,663,570
2007,male,private,capital_city,682,728,646,0,668,570
2006,male,private,capital_city,682,707,690,537,722,570
2010,male,public,capital_city,661,756,0,699,732,570
2010,female,private,capital_city,702,706,717,0,743,570
2010,male,public,other_region,744,756,613,564,743,570
2007,male,private,other_region,682,728,607,715,747,570
2010,male,public,capital_city,702,694,670,734,754,570
2009,female,private,other_region,785,800,773,0,803,570
2005,male,private,capital_city,764,694,580,645,735,569
2008,male,semiprivate,other_region,661,678,708,0,639,567
2010,male,private,capital_city,744,756,645,589,639,567
2009,female,semiprivate,capital_city,785,715,0,668,644,567
2010,female,private,capital_city,702,756,0,657,659,567
2010,female,private,capital_city,723,774,622,721,691,567
2007,male,private,capital_city,744,699,634,708,699,567
2005,female,semiprivate,capital_city,764,713,696,615,712,567
2009,male,private,other_region,682,774,0,734,732,567
2009,male,private,capital_city,744,715,688,0,747,567
2008,male,semiprivate,capital_city,723,739,734,640,760,567
2007,male,public,capital_city,661,785,791,808,779,567
2010,female,private,capital_city,805,850,772,0,801,567
2005,male,private,other_region,723,739,635,645,582,564
2005,male,private,capital_city,641,739,640,0,667,564
2005,male,public,capital_city,641,822,770,771,693,564
2005,female,public,capital_city,723,680,827,653,783,564
2006,male,semiprivate,capital_city,682,759,626,537,559,563
2006,male,private,capital_city,641,759,682,651,585,563
2010,female,private,capital_city,599,812,660,622,620,563
2006,male,semiprivate,other_region,764,611,669,0,626,563
2008,female,private,capital_city,723,727,724,0,667,563
2006,female,semiprivate,capital_city,723,714,589,645,671,563
2005,male,private,capital_city,723,713,617,0,674,563
2010,male,private,capital_city,702,831,757,600,674,563
2006,female,private,capital_city,744,652,684,0,675,563
2007,male,private,capital_city,702,828,767,0,675,563
2008,female,private,capital_city,744,727,671,0,689,563
2008,male,private,capital_city,764,727,714,0,689,563
2005,male,private,capital_city,682,738,651,0,699,563
2007,male,private,capital_city,682,738,651,0,699,563
2007,male,private,capital_city,723,756,701,0,700,563
2007,male,private,other_region,785,850,0,697,717,563
2010,male,private,capital_city,661,756,670,0,721,563
2005,female,public,capital_city,723,713,681,0,723,563
2009,male,private,capital_city,682,735,773,0,723,563
2008,male,private,other_region,744,682,734,0,726,563
2009,female,private,capital_city,702,678,682,0,732,563
2008,male,private,capital_city,723,702,754,0,736,563
2007,male,public,other_region,538,750,735,647,737,563
2009,male,private,other_region,723,748,627,641,774,563
2010,male,public,other_region,661,774,819,614,776,563
2006,male,private,capital_city,579,813,0,615,505,560
2007,female,private,capital_city,702,713,692,703,636,560
2009,male,private,capital_city,702,763,694,0,638,560
2010,male,private,capital_city,682,737,0,708,651,560
2005,female,private,other_region,723,680,0,707,674,560
2010,female,public,capital_city,682,701,717,625,691,560
2010,female,private,capital_city,702,756,670,0,691,560
2005,male,semiprivate,capital_city,682,806,746,697,691,560
2006,female,private,capital_city,785,702,662,557,695,560
2008,male,private,other_region,785,695,633,587,696,560
2005,female,private,capital_city,785,702,681,687,703,560
2008,male,private,capital_city,620,761,671,0,736,560
2008,female,private,capital_city,764,678,708,0,743,560
2010,female,private,capital_city,744,718,735,0,743,560
2006,male,private,capital_city,702,681,735,558,747,560
2007,female,private,capital_city,805,631,714,0,757,560
2009,male,private,capital_city,682,701,773,0,761,560
2010,male,private,capital_city,641,774,682,0,608,557
2006,male,private,capital_city,723,714,552,597,626,557
2009,male,private,capital_city,661,800,708,0,650,557
2010,male,semiprivate,other_region,620,831,0,635,659,557
2006,male,public,capital_city,558,777,733,684,664,557
2010,male,private,other_region,682,756,622,684,667,557
2005,female,private,capital_city,723,686,757,0,674,557
2008,male,private,capital_city,702,828,637,0,674,557
2008,male,private,capital_city,723,702,724,602,681,557
2006,male,private,capital_city,641,761,0,674,681,557
2006,male,private,other_region,661,722,600,680,688,557
2009,male,public,capital_city,702,735,694,0,713,557
2009,male,private,capital_city,641,748,708,616,723,557
2006,male,private,capital_city,682,832,0,713,732,557
2007,male,private,capital_city,599,705,724,606,737,557
2010,female,private,capital_city,661,812,0,734,743,557
2009,male,semiprivate,capital_city,723,724,0,660,747,557
2009,female,private,capital_city,661,701,757,0,761,557
2010,male,private,capital_city,496,831,850,0,792,557
2005,male,private,capital_city,702,713,696,0,635,555
2005,male,public,capital_city,620,692,714,0,683,555
2005,male,private,capital_city,723,756,701,0,700,555
2009,male,private,other_region,723,735,757,716,595,553
2008,male,private,other_region,764,716,559,623,618,553
2007,male,private,capital_city,641,763,562,636,624,553
2005,female,private,other_region,723,713,705,0,635,553
2007,male,private,capital_city,682,722,733,0,638,553
2009,male,private,capital_city,661,825,603,657,638,553
2010,male,semiprivate,other_region,682,756,0,689,659,553
2010,male,private,other_region,682,774,757,0,674,553
2009,male,private,other_region,805,735,850,641,678,553
2006,male,semiprivate,capital_city,641,680,626,612,679,553
2007,female,private,capital_city,723,728,663,798,699,553
2007,male,private,capital_city,682,728,677,0,707,553
2009,female,public,capital_city,723,671,0,680,723,553
2008,male,private,other_region,723,695,769,0,726,553
2010,male,public,capital_city,579,774,682,0,754,553
2007,male,public,capital_city,723,828,791,0,771,553
2005,female,private,capital_city,744,686,0,661,674,551
2005,female,private,capital_city,744,675,705,0,695,551
2008,female,private,other_region,744,671,613,613,600,550
2010,male,semiprivate,capital_city,723,831,677,617,608,550
2008,male,private,capital_city,620,682,649,0,626,550
2010,female,private,capital_city,764,694,708,585,651,550
2010,male,private,capital_city,682,756,578,642,659,550
2008,male,private,capital_city,702,739,769,0,660,550
2009,male,private,other_region,620,724,745,620,663,550
2010,male,private,capital_city,723,718,655,596,667,550
2006,male,private,capital_city,702,702,656,645,671,550
2006,male,private,other_region,682,722,745,0,671,550
2007,male,private,capital_city,723,713,557,553,675,550
2009,male,private,capital_city,702,748,617,616,686,550
2010,male,public,capital_city,599,812,682,0,691,550
2010,male,private,capital_city,517,831,757,0,691,550
2008,male,private,capital_city,723,739,684,0,696,550
2006,female,private,capital_city,682,695,682,0,703,550
2006,male,public,capital_city,620,740,669,0,703,550
2008,male,private,capital_city,682,783,642,760,706,550
2005,male,private,capital_city,682,713,617,649,723,550
2008,male,private,capital_city,744,739,823,576,747,550
2010,male,private,capital_city,558,831,660,0,754,550
2009,female,semiprivate,capital_city,702,637,701,0,768,550
2010,female,private,capital_city,744,682,608,684,768,550
2007,male,semiprivate,capital_city,744,806,791,0,803,550
2005,female,semiprivate,capital_city,744,686,667,600,703,548
2008,male,semiprivate,capital_city,723,675,623,0,602,547
2007,male,private,other_region,682,750,663,636,602,547
2008,male,private,capital_city,579,828,0,595,603,547
2010,female,private,capital_city,744,701,660,0,645,547
2007,female,semiprivate,other_region,785,686,0,708,655,547
2010,female,semiprivate,capital_city,702,737,636,664,667,547
2010,male,private,capital_city,641,756,701,0,667,547
2007,male,semiprivate,other_region,723,661,663,516,668,547
2010,male,public,capital_city,558,812,0,684,691,547
2009,male,private,capital_city,723,724,669,624,695,547
2007,male,private,capital_city,723,695,705,0,696,547
2009,male,private,capital_city,764,682,773,0,704,547
2010,female,private,other_region,723,756,670,0,710,547
2009,male,semiprivate,other_region,744,763,708,630,723,547
2009,male,private,capital_city,682,763,0,630,723,547
2010,male,private,capital_city,641,756,819,603,732,547
2008,female,private,capital_city,723,761,714,0,736,547
2010,female,private,capital_city,785,701,708,0,743,547
2006,female,private,capital_city,723,680,644,688,752,547
2009,male,private,capital_city,661,682,772,0,754,547
2007,male,private,capital_city,785,785,670,0,803,547
2005,male,private,capital_city,764,707,682,778,775,546
2005,male,semiprivate,capital_city,682,750,0,808,811,546
2008,male,public,capital_city,641,739,724,0,674,544
2006,male,private,capital_city,702,722,615,623,591,543
2006,male,private,capital_city,620,777,626,514,591,543
2006,female,private,capital_city,764,714,0,667,602,543
2010,male,semiprivate,capital_city,682,737,617,625,608,543
2010,male,private,capital_city,723,737,744,617,633,543
2010,male,private,capital_city,744,701,727,0,639,543
2008,male,private,other_region,723,739,705,662,641,543
2010,male,private,other_region,558,812,613,0,651,543
2010,male,private,capital_city,641,831,574,0,659,543
2007,male,private,capital_city,641,850,692,0,661,543
2010,male,public,capital_city,641,718,757,0,674,543
2006,female,private,capital_city,702,722,674,0,679,543
2006,male,public,capital_city,579,763,714,575,691,543
2009,female,private,capital_city,744,701,647,690,704,543
2008,male,private,capital_city,661,727,769,0,716,543
2005,female,private,capital_city,744,636,724,0,723,555
2009,male,private,capital_city,702,701,773,0,723,543
2008,female,private,capital_city,723,620,591,581,732,543
2010,male,public,capital_city,620,701,717,0,732,543
2010,male,private,other_region,579,756,717,622,732,543
2005,female,private,capital_city,702,673,667,0,735,543
2008,female,public,capital_city,579,727,697,592,747,610
2008,male,semiprivate,other_region,702,727,796,0,760,543
2008,female,private,capital_city,661,701,757,0,761,543
2009,female,private,capital_city,723,724,726,0,761,543
2006,male,private,capital_city,579,759,819,0,783,543
2007,male,private,capital_city,764,686,724,0,787,543
2005,male,private,other_region,661,739,0,626,607,542
2005,male,private,capital_city,744,667,724,0,650,542
2005,male,public,capital_city,517,763,688,0,670,541
2009,female,private,capital_city,641,748,658,0,615,540
2007,male,private,capital_city,682,728,699,0,618,540
2006,male,semiprivate,capital_city,723,695,579,590,619,540
2010,female,private,capital_city,702,718,636,721,633,540
2006,male,semiprivate,capital_city,682,666,658,573,644,540
2006,male,semiprivate,capital_city,764,714,0,675,650,540
2006,female,private,capital_city,764,652,628,0,660,540
2007,female,private,capital_city,702,708,664,0,667,540
2010,male,private,capital_city,723,756,689,625,674,540
2006,female,private,capital_city,702,690,778,0,688,540
2006,male,private,capital_city,661,759,626,531,688,540
2010,female,semiprivate,capital_city,744,701,0,649,691,540
2010,female,private,capital_city,744,812,744,0,691,540
2010,female,public,capital_city,661,718,0,672,700,540
2006,male,semiprivate,capital_city,661,759,626,680,703,540
2009,female,semiprivate,capital_city,764,661,674,0,704,540
2006,female,private,other_region,764,680,0,667,722,540
2007,female,private,capital_city,723,686,735,0,727,540
2008,female,private,other_region,764,708,0,749,735,540
2008,male,private,capital_city,723,682,671,0,774,540
2007,male,private,capital_city,764,738,735,0,787,540
2008,female,private,capital_city,785,671,684,0,789,613
2006,male,semiprivate,capital_city,805,759,745,0,808,540
2005,female,private,capital_city,744,673,660,0,642,539
2005,male,private,capital_city,702,739,574,630,703,538
2010,male,private,capital_city,682,774,617,703,557,537
2006,male,private,capital_city,682,777,547,619,574,537
2005,male,private,other_region,744,713,617,571,594,537
2009,female,private,capital_city,723,748,0,641,600,537
2006,female,private,capital_city,702,740,563,634,602,547
2006,male,private,capital_city,744,680,609,675,619,537
2005,male,semiprivate,capital_city,641,680,617,558,635,537
2005,male,public,other_region,785,686,602,600,635,537
2006,male,private,capital_city,785,670,609,730,650,537
2008,male,private,capital_city,702,678,757,0,651,537
2007,male,private,capital_city,723,686,0,738,655,537
2006,female,private,capital_city,702,675,620,565,657,537
2009,female,semiprivate,other_region,744,748,642,649,657,537
2008,female,private,capital_city,764,677,684,0,667,537
2006,male,private,capital_city,620,682,600,0,667,537
2005,female,private,other_region,702,694,0,619,674,537
2007,female,private,capital_city,723,719,677,602,691,537
2005,male,private,capital_city,723,680,667,0,693,537
2007,male,semiprivate,capital_city,723,677,681,0,695,537
2005,male,private,capital_city,723,694,606,745,703,586
2008,male,private,capital_city,764,688,714,629,706,537
2006,male,public,capital_city,661,759,705,693,712,537
2008,female,private,other_region,785,677,648,0,716,590
2005,female,private,other_region,785,680,667,496,735,601
2008,male,private,capital_city,682,716,628,655,747,537
2008,female,private,capital_city,702,708,0,626,760,537
2006,male,private,other_region,517,740,799,0,767,537
2009,male,private,capital_city,785,763,789,716,784,537
2005,male,public,capital_city,744,850,770,762,796,537
2010,female,public,capital_city,723,831,0,786,809,537
2005,male,private,capital_city,661,670,631,0,619,536
2008,male,private,capital_city,599,708,575,609,590,593
2005,male,private,capital_city,517,822,0,724,601,533
2006,male,semiprivate,capital_city,702,707,0,718,607,533
2010,male,private,capital_city,641,756,0,677,626,533
2006,male,private,capital_city,702,740,626,637,631,533
2008,male,private,capital_city,620,806,653,569,641,533
2005,female,private,capital_city,723,686,699,0,655,533
2005,male,semiprivate,other_region,744,661,803,0,661,533
2006,female,private,capital_city,723,702,644,605,664,533
2010,female,private,capital_city,723,737,640,0,667,533
2008,female,semiprivate,other_region,785,688,0,667,681,533
2009,female,private,capital_city,785,694,681,685,686,533
2007,male,private,capital_city,682,763,557,682,699,533
2009,male,private,capital_city,764,694,735,0,713,533
2009,male,private,other_region,702,715,726,0,713,533
2009,male,public,capital_city,641,724,757,0,723,533
2006,male,semiprivate,other_region,723,645,664,0,732,533
2006,male,private,other_region,744,707,609,693,732,533
2006,male,private,capital_city,723,813,0,697,752,533
2010,male,public,capital_city,620,756,0,708,754,533
2010,male,public,capital_city,620,850,772,668,768,533
2006,male,private,other_region,723,657,799,0,783,533
2006,male,private,other_region,744,714,0,684,585,530
2009,female,private,capital_city,723,748,627,561,631,530
2006,male,private,capital_city,661,759,690,0,631,530
2009,male,private,capital_city,599,825,623,0,657,530
2007,male,private,capital_city,682,692,0,677,699,530
2010,male,private,capital_city,641,737,727,0,700,530
2010,male,private,capital_city,702,718,670,589,721,530
2006,female,private,capital_city,764,626,757,0,732,530
2008,male,private,other_region,764,735,717,542,747,530
2006,female,semiprivate,capital_city,744,759,697,0,752,530
2010,male,semiprivate,capital_city,661,673,630,600,754,530
2006,male,public,capital_city,599,702,697,688,775,530
2006,male,public,capital_city,620,850,0,675,817,530
2005,male,private,capital_city,661,713,585,678,650,528
2005,male,private,capital_city,641,713,757,0,796,528
2007,male,private,capital_city,641,763,547,647,613,527
2008,male,private,capital_city,723,716,691,572,629,527
2006,female,private,capital_city,723,707,705,0,638,527
2006,male,public,capital_city,558,722,0,693,650,527
2006,male,public,capital_city,682,832,0,730,679,527
2008,male,private,other_region,744,716,0,721,681,527
2010,male,public,capital_city,620,812,0,776,682,527
2006,male,private,capital_city,744,702,722,0,688,527
2006,female,private,other_region,764,728,607,636,691,527
2010,male,private,capital_city,744,737,735,607,691,527
2009,female,semiprivate,capital_city,723,748,694,710,695,527
2008,female,private,other_region,723,727,633,688,696,527
2008,female,private,capital_city,723,708,623,605,716,527
2010,female,semiprivate,other_region,744,737,649,668,721,527
2009,male,semiprivate,capital_city,682,694,603,613,723,527
2006,female,private,other_region,764,690,0,659,732,527
2010,female,private,capital_city,744,688,735,652,743,527
2009,male,semiprivate,capital_city,723,735,669,616,747,527
2005,female,private,other_region,641,667,0,665,759,537
2009,male,public,capital_city,620,825,701,0,761,527
2007,female,private,capital_city,805,705,756,0,771,527
2010,female,semiprivate,other_region,785,774,850,642,784,527
2005,male,private,other_region,702,667,660,511,723,525
2006,male,semiprivate,capital_city,641,813,605,602,559,523
2006,male,semiprivate,capital_city,661,648,701,0,592,523
2009,male,private,capital_city,682,756,0,638,592,523
2007,male,private,other_region,579,774,677,649,608,523
2006,male,private,capital_city,641,750,628,543,618,523
2006,male,public,capital_city,661,680,649,0,626,523
2010,male,private,capital_city,702,718,788,576,626,523
2005,female,semiprivate,other_region,764,739,596,641,628,523
2006,female,private,capital_city,702,740,626,547,645,523
2006,female,private,other_region,702,832,690,697,664,523
2009,female,semiprivate,other_region,702,735,663,0,670,523
2006,male,private,capital_city,661,714,682,547,671,523
2006,female,private,capital_city,723,675,682,0,679,523
2008,male,private,capital_city,661,694,745,589,695,523
2010,male,private,capital_city,682,831,608,611,700,523
2008,female,private,capital_city,702,727,0,647,716,523
2009,male,private,capital_city,805,657,708,0,747,523
2009,female,public,other_region,682,735,613,0,747,523
2010,male,public,capital_city,579,706,708,734,776,523
2005,female,public,capital_city,620,673,681,637,796,533
2008,male,private,capital_city,558,806,664,552,804,523
2005,female,semiprivate,capital_city,723,694,635,563,810,523
2008,male,public,capital_city,599,718,834,652,817,523
2007,male,private,capital_city,744,705,735,0,602,520
2007,male,private,capital_city,682,728,684,0,629,520
2010,male,private,other_region,723,669,0,638,633,520
2008,male,private,capital_city,661,761,595,633,635,520
2007,male,semiprivate,capital_city,682,699,684,534,648,520
2005,male,semiprivate,capital_city,661,680,0,604,650,520
2006,male,semiprivate,capital_city,702,722,0,688,650,520
2006,male,private,capital_city,805,759,552,626,664,520
2006,male,semiprivate,capital_city,702,637,674,0,671,520
2005,male,semiprivate,other_region,805,631,0,712,674,520
2010,male,private,capital_city,620,793,636,538,674,520
2007,male,semiprivate,other_region,764,699,628,583,683,520
2009,female,semiprivate,capital_city,723,724,674,589,695,520
2010,female,semiprivate,other_region,785,694,636,642,700,520
2005,female,private,capital_city,641,694,606,649,703,524
2006,male,public,capital_city,661,740,0,648,703,520
2009,female,private,capital_city,702,776,745,0,704,520
2008,male,private,capital_city,599,718,617,0,721,520
2006,male,private,capital_city,764,690,674,602,722,520
2006,male,public,capital_city,661,740,0,659,722,520
2009,female,public,capital_city,723,701,627,680,723,520
2005,male,semiprivate,capital_city,661,713,0,619,723,567
2008,male,private,capital_city,826,806,769,616,726,520
2010,female,private,other_region,682,718,708,0,743,520
2008,male,private,capital_city,764,716,754,0,747,520
2010,male,public,capital_city,702,850,757,727,754,520
2010,male,private,capital_city,661,756,717,0,776,520
2010,female,semiprivate,capital_city,805,682,744,727,784,520
2009,female,private,capital_city,744,694,717,592,784,520
2008,female,public,capital_city,744,657,714,0,789,520
2005,male,private,capital_city,682,680,690,0,614,519
2005,female,private,other_region,702,640,733,531,722,519
2005,female,private,capital_city,785,795,770,0,783,519
2006,female,semiprivate,capital_city,744,680,0,684,591,517
2009,male,semiprivate,other_region,661,776,681,627,595,517
2006,male,private,other_region,702,675,607,0,613,517
2006,female,private,capital_city,764,707,626,494,626,517
2009,male,private,capital_city,682,763,647,685,626,517
2006,male,private,capital_city,641,722,809,166,638,517
2009,male,private,capital_city,641,800,623,573,644,517
2007,male,private,capital_city,661,671,652,0,663,517
2006,female,private,capital_city,702,701,0,552,670,517
2010,female,private,capital_city,702,694,701,657,674,517
2010,female,private,capital_city,661,756,677,0,674,517
2008,male,public,capital_city,538,761,0,703,674,517
2008,female,private,capital_city,744,702,744,0,681,517
2008,female,private,capital_city,785,682,744,0,696,517
2010,female,semiprivate,other_region,702,706,744,0,700,517
2007,male,semiprivate,other_region,785,713,684,682,737,517
2005,female,private,capital_city,682,716,648,584,747,517
2009,male,semiprivate,other_region,661,735,745,0,747,517
2005,male,public,capital_city,661,795,827,0,759,517
2005,male,private,capital_city,702,636,717,0,695,515
